"institution"	"rating"	"valid_through"	"URL"	"latest_report"	"purchasing"	"dining"
"Florida State University"	"Gold"	"Dec. 18, 2021"	"https://reports.aashe.org/institutions/florida-state-university-fl/report/"	"https://reports.aashe.org/institutions/florida-state-university-fl/report/2018-12-19/"	"https://reports.aashe.org/institutions/florida-state-university-fl/report/2018-12-19/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/florida-state-university-fl/report/2018-12-19/OP/food-dining/OP-8/"
"Furman University"	"Gold"	"Sept. 6, 2024"	"https://reports.aashe.org/institutions/furman-university-sc/report/"	"https://reports.aashe.org/institutions/furman-university-sc/report/2021-06-22/"	"https://reports.aashe.org/institutions/furman-university-sc/report/2021-06-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/furman-university-sc/report/2021-06-22/OP/food-dining/OP-8/"
"George Mason University"	"Gold"	"Feb. 19, 2024"	"https://reports.aashe.org/institutions/george-mason-university-va/report/"	"https://reports.aashe.org/institutions/george-mason-university-va/report/2021-01-08/"	"https://reports.aashe.org/institutions/george-mason-university-va/report/2021-01-08/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/george-mason-university-va/report/2021-01-08/OP/food-dining/OP-8/"
"George Washington University"	"Gold"	"March 5, 2023"	"https://reports.aashe.org/institutions/george-washington-university-dc/report/"	"https://reports.aashe.org/institutions/george-washington-university-dc/report/2020-03-05/"	"https://reports.aashe.org/institutions/george-washington-university-dc/report/2020-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/george-washington-university-dc/report/2020-03-05/OP/food-dining/OP-8/"
"Gonzaga University"	"Gold"	"Nov. 12, 2023"	"https://reports.aashe.org/institutions/gonzaga-university-wa/report/"	"https://reports.aashe.org/institutions/gonzaga-university-wa/report/2020-09-23/"	"https://reports.aashe.org/institutions/gonzaga-university-wa/report/2020-09-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/gonzaga-university-wa/report/2020-09-23/OP/food-dining/OP-8/"
"Grand Valley State University"	"Gold"	"May 5, 2024"	"https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/"	"https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/2021-03-05/"	"https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/2021-03-05/OP/food-dining/OP-8/"
"Green Mountain College"	"Gold"	"Aug. 21, 2021"	"https://reports.aashe.org/institutions/green-mountain-college-vt/report/"	"https://reports.aashe.org/institutions/green-mountain-college-vt/report/2018-02-23/"	"https://reports.aashe.org/institutions/green-mountain-college-vt/report/2018-02-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/green-mountain-college-vt/report/2018-02-23/OP/food-dining/OP-8/"
"HEC Montréal"	"Gold"	"April 22, 2024"	"https://reports.aashe.org/institutions/hec-montreal-pa/report/"	"https://reports.aashe.org/institutions/hec-montreal-pa/report/2021-02-10/"	"https://reports.aashe.org/institutions/hec-montreal-pa/report/2021-02-10/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/hec-montreal-pa/report/2021-02-10/OP/food-dining/OP-8/"
"Hampshire College"	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/hampshire-college-ma/report/"	"https://reports.aashe.org/institutions/hampshire-college-ma/report/"	"https://reports.aashe.org/institutions/hampshire-college-ma/report/2018-03-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/hampshire-college-ma/report/2018-03-30/OP/food-dining/OP-7/"
"Humber College"	"Gold"	"Oct. 23, 2022"	"https://reports.aashe.org/institutions/humber-college-on/report/"	"https://reports.aashe.org/institutions/humber-college-on/report/2019-10-24/"	"https://reports.aashe.org/institutions/humber-college-on/report/2019-10-24/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/humber-college-on/report/2019-10-24/OP/food-dining/OP-8/"
"Humboldt State University"	"Gold"	"May 7, 2023"	"https://reports.aashe.org/institutions/humboldt-state-university-ca/report/"	"https://reports.aashe.org/institutions/humboldt-state-university-ca/report/2020-05-07/"	"https://reports.aashe.org/institutions/humboldt-state-university-ca/report/2020-05-07/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/humboldt-state-university-ca/report/2020-05-07/OP/food-dining/OP-8/"
"Indiana University Bloomington"	"Gold"	"Feb. 25, 2023"	"https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/"	"https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/2020-02-26/"	"https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/2020-02-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/2020-02-26/OP/food-dining/OP-8/"
"Indiana University-Purdue University Indianapolis (IUPUI)"	"Gold"	"May 11, 2024"	"https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/"	"https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/2020-12-14/"	"https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/2020-12-14/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/2020-12-14/OP/food-dining/OP-8/"
"Iowa State University"	"Gold"	"Aug. 29, 2022"	"https://reports.aashe.org/institutions/iowa-state-university-ia/report/"	"https://reports.aashe.org/institutions/iowa-state-university-ia/report/2019-08-30/"	"https://reports.aashe.org/institutions/iowa-state-university-ia/report/2019-08-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/iowa-state-university-ia/report/2019-08-30/OP/food-dining/OP-8/"
"Ithaca College"	"Gold"	"Nov. 24, 2022"	"https://reports.aashe.org/institutions/ithaca-college-ny/report/"	"https://reports.aashe.org/institutions/ithaca-college-ny/report/2019-11-25/"	"https://reports.aashe.org/institutions/ithaca-college-ny/report/2019-11-25/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/ithaca-college-ny/report/2019-11-25/OP/food-dining/OP-8/"
"James Madison University"	"Gold"	"Dec. 20, 2021"	"https://reports.aashe.org/institutions/james-madison-university-va/report/"	"https://reports.aashe.org/institutions/james-madison-university-va/report/2018-12-21/"	"https://reports.aashe.org/institutions/james-madison-university-va/report/2018-12-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/james-madison-university-va/report/2018-12-21/OP/food-dining/OP-8/"
"Keene State College"	"Gold"	"March 30, 2024"	"https://reports.aashe.org/institutions/keene-state-college-nh/report/"	"https://reports.aashe.org/institutions/keene-state-college-nh/report/2021-03-04/"	"https://reports.aashe.org/institutions/keene-state-college-nh/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/keene-state-college-nh/report/2021-03-04/OP/food-dining/OP-8/"
