"institution"	"state"	"long"	"lat"	"rating"	"URL"	"latest_report"	"purchasing"	"dining"
"Slippery Rock University of Pennsylvania"	"PA"	-80.045965	41.062719	"Silver"	"https://reports.aashe.org/institutions/slippery-rock-university-pa/report/"	"https://reports.aashe.org/institutions/slippery-rock-university-pa/report/2019-02-22/"	"https://reports.aashe.org/institutions/slippery-rock-university-pa/report/2019-02-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/slippery-rock-university-pa/report/2019-02-22/OP/food-dining/OP-8/"
"Soka University of America"	"CA"	-117.735344	33.554546	"Silver"	"https://reports.aashe.org/institutions/soka-university-of-america-ca/report/"	"https://reports.aashe.org/institutions/soka-university-of-america-ca/report/2018-06-22/"	"https://reports.aashe.org/institutions/soka-university-of-america-ca/report/2018-06-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/soka-university-of-america-ca/report/2018-06-22/OP/food-dining/OP-8/"
"Sonoma State University"	"CA"	-122.677066	38.340274	"Silver"	"https://reports.aashe.org/institutions/sonoma-state-university-ca/report/"	"https://reports.aashe.org/institutions/sonoma-state-university-ca/report/2021-02-18/"	"https://reports.aashe.org/institutions/sonoma-state-university-ca/report/2021-02-18/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/sonoma-state-university-ca/report/2021-02-18/OP/food-dining/OP-8/"
"South Dakota State University"	"SD"	-96.782139	44.317485	"Silver"	"https://reports.aashe.org/institutions/south-dakota-state-university-sd/report/"	"https://reports.aashe.org/institutions/south-dakota-state-university-sd/report/2019-12-09/"	"https://reports.aashe.org/institutions/south-dakota-state-university-sd/report/2019-12-09/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/south-dakota-state-university-sd/report/2019-12-09/OP/food-dining/OP-8/"
"South Seattle College"	"WA"	-122.352672	47.5475	"Silver"	"https://reports.aashe.org/institutions/south-seattle-community-college-wa/report/"	"https://reports.aashe.org/institutions/south-seattle-community-college-wa/report/2021-03-31/"	"https://reports.aashe.org/institutions/south-seattle-community-college-wa/report/2021-03-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/south-seattle-community-college-wa/report/2021-03-31/OP/food-dining/OP-8/"
"Southern Illinois University Carbondale"	"IL"	-89.217273	37.714193	"Silver"	"https://reports.aashe.org/institutions/southern-illinois-university-carbondale-il/report/"	"https://reports.aashe.org/institutions/southern-illinois-university-carbondale-il/report/2020-01-10/"	"https://reports.aashe.org/institutions/southern-illinois-university-carbondale-il/report/2020-01-10/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/southern-illinois-university-carbondale-il/report/2020-01-10/OP/food-dining/OP-8/"
"Southern New Hampshire University"	"NH"	-71.451842	43.038922	"Bronze"	"https://reports.aashe.org/institutions/southern-new-hampshire-university-nh/report/"	"https://reports.aashe.org/institutions/southern-new-hampshire-university-nh/report/"	"https://reports.aashe.org/institutions/southern-new-hampshire-university-nh/report/2019-10-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/southern-new-hampshire-university-nh/report/2019-10-11/OP/food-dining/OP-7/"
"Southern Oregon University"	"OR"	-122.695081	42.185077	"Silver"	"https://reports.aashe.org/institutions/southern-oregon-university-or/report/"	"https://reports.aashe.org/institutions/southern-oregon-university-or/report/2019-03-01/"	"https://reports.aashe.org/institutions/southern-oregon-university-or/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/southern-oregon-university-or/report/2019-03-01/OP/food-dining/OP-8/"
"Southwestern University"	"TX"	-97.665738	30.634341	"Bronze"	"https://reports.aashe.org/institutions/southwestern-university-tx/report/"	"https://reports.aashe.org/institutions/southwestern-university-tx/report/2018-05-10/"	"https://reports.aashe.org/institutions/southwestern-university-tx/report/2018-05-10/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/southwestern-university-tx/report/2018-05-10/OP/food-dining/OP-8/"
"St Lawrence University"	"NY"	-75.161343	44.589879	"Silver"	"https://reports.aashe.org/institutions/st-lawrence-university-ny/report/"	"https://reports.aashe.org/institutions/st-lawrence-university-ny/report/2017-12-14/"	"https://reports.aashe.org/institutions/st-lawrence-university-ny/report/2017-12-14/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/st-lawrence-university-ny/report/2017-12-14/OP/food-dining/OP-8/"
"Stanford University"	"CA"	-122.167359	37.429434	"Platinum"	"https://reports.aashe.org/institutions/stanford-university-ca/report/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/OP/food-dining/OP-8/"
"State University of New York at New Paltz"	"NY"	-74.082188	41.740936	"Silver"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-new-paltz-ny/report/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-new-paltz-ny/report/2018-03-08/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-new-paltz-ny/report/2018-03-08/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-new-paltz-ny/report/2018-03-08/OP/food-dining/OP-8/"
"Stevens Institute of Technology"	"NJ"	-74.025334	40.744776	"Gold"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/OP/food-dining/OP-8/"
"Susquehanna University"	"PA"	-76.875329	40.797502	"Silver"	"https://reports.aashe.org/institutions/susquehanna-university-pa/report/"	"https://reports.aashe.org/institutions/susquehanna-university-pa/report/2020-08-21/"	"https://reports.aashe.org/institutions/susquehanna-university-pa/report/2020-08-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/susquehanna-university-pa/report/2020-08-21/OP/food-dining/OP-8/"
"Swarthmore College"	"PA"	-75.354278	39.905159	"Silver"	"https://reports.aashe.org/institutions/swarthmore-college-pa/report/"	"https://reports.aashe.org/institutions/swarthmore-college-pa/report/2020-03-06/"	"https://reports.aashe.org/institutions/swarthmore-college-pa/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/swarthmore-college-pa/report/2020-03-06/OP/food-dining/OP-8/"
"Syracuse University"	"NY"	-76.136975	43.040176	"Silver"	"https://reports.aashe.org/institutions/syracuse-university-ny/report/"	"https://reports.aashe.org/institutions/syracuse-university-ny/report/"	"https://reports.aashe.org/institutions/syracuse-university-ny/report/2018-06-15/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/syracuse-university-ny/report/2018-06-15/OP/food-dining/OP-7/"
"Temple University"	"PA"	-75.156859	39.980546	"Silver"	"https://reports.aashe.org/institutions/temple-university-pa/report/"	"https://reports.aashe.org/institutions/temple-university-pa/report/2020-12-10/"	"https://reports.aashe.org/institutions/temple-university-pa/report/2020-12-10/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/temple-university-pa/report/2020-12-10/OP/food-dining/OP-8/"
"Tennessee Technological University"	"TN"	-85.504039	36.174754	"Silver"	"https://reports.aashe.org/institutions/tennessee-technological-university-tn/report/"	"https://reports.aashe.org/institutions/tennessee-technological-university-tn/report/2019-12-18/"	"https://reports.aashe.org/institutions/tennessee-technological-university-tn/report/2019-12-18/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/tennessee-technological-university-tn/report/2019-12-18/OP/food-dining/OP-8/"
"Texas Tech University"	"TX"	-101.874783	33.583448	"Bronze"	"https://reports.aashe.org/institutions/texas-tech-university-tx/report/"	"https://reports.aashe.org/institutions/texas-tech-university-tx/report/2021-02-26/"	"https://reports.aashe.org/institutions/texas-tech-university-tx/report/2021-02-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/texas-tech-university-tx/report/2021-02-26/OP/food-dining/OP-8/"
"The New School"	"NY"	-73.997114	40.735508	"Silver"	"https://reports.aashe.org/institutions/the-new-school-ny/report/"	"https://reports.aashe.org/institutions/the-new-school-ny/report/2018-08-06/"	"https://reports.aashe.org/institutions/the-new-school-ny/report/2018-08-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/the-new-school-ny/report/2018-08-06/OP/food-dining/OP-8/"
"The University of Texas at Austin"	"TX"	-97.738273	30.282825	"Gold"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/OP/food-dining/OP-8/"
"The University of Texas at Dallas"	"TX"	-96.749702	32.984673	"Gold"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/OP/food-dining/OP-8/"
"The University of Texas at San Antonio"	"TX"	-98.620657	29.583709	"Silver"	"https://reports.aashe.org/institutions/university-of-texas-at-san-antonio-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-san-antonio-tx/report/2019-11-27/"	"https://reports.aashe.org/institutions/university-of-texas-at-san-antonio-tx/report/2019-11-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-at-san-antonio-tx/report/2019-11-27/OP/food-dining/OP-8/"
